idea_id,title,tagline,description,problem_statement,domain,category,required_skills,team_size,complexity_level,estimated_timeline,what_you_need,technologies,original_stars,original_forks,source,repository_url
11,pytorch-lightning,"Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.","Pretrain, finetune ANY AI model of ANY size on multiple GPUs, TPUs with zero code changes.

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",There's a gap in accessible solutions for Artificial Intelligence & ML problems.,Artificial Intelligence & ML,ai_trending,"[""Pandas"", ""Backend"", ""Deep Learning"", ""TensorFlow"", ""scikit-learn"", ""Machine Learning"", ""PyTorch"", ""Makefile""]",5,High,4-6 months,"Looking for 4 team member(s) with skills in: Pandas, Backend, Deep Learning. Open to learning together!","[""ai"", ""artificial-intelligence"", ""data-science"", ""deep-learning"", ""machine-learning"", ""python""]",30202,3578,github_transformed,https://github.com/Lightning-AI/pytorch-lightning
12,Jobs_Applier_AI_Agent_AIHawk,"AIHawk aims to easy job hunt process by automating the job application process. Utilizing artificial intelligence, it enables users to apply for multiple jobs in a tailored way.","AIHawk aims to easy job hunt process by automating the job application process. Utilizing artificial intelligence, it enables users to apply for multiple jobs in a tailored way.

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",Building Artificial Intelligence & ML applications requires expertise that's not easily accessible to students.,Artificial Intelligence & ML,ai_trending,"[""LLMs"", ""NLP"", ""GPT"", ""CSS"", ""ChatGPT API"", ""Backend"", ""Python""]",5,High,4-6 months,"Looking for 4 team member(s) with skills in: LLMs, NLP, GPT. Open to learning together!","[""agent"", ""application-resume"", ""artificial-intelligence"", ""automate"", ""automation"", ""bot""]",28883,4381,github_transformed,https://github.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk
13,minimind,🚀🚀 「大模型」2小时完全从0训练26M的小参数GPT！🌏 Train a 26M-parameter GPT from scratch in just 2h!,"🚀🚀 「大模型」2小时完全从0训练26M的小参数GPT！🌏 Train a 26M-parameter GPT from scratch in just 2h!

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",There's a gap in accessible solutions for Artificial Intelligence & ML problems.,Artificial Intelligence & ML,ai_trending,"[""Python""]",3,High,4-6 months,Looking for 2 team member(s) who can help with implementation and testing.,"[""artificial-intelligence"", ""large-language-model""]",27007,3207,github_transformed,https://github.com/jingyaogong/minimind
14,semantic-kernel,Integrate cutting-edge LLM technology quickly and easily into your apps,"Integrate cutting-edge LLM technology quickly and easily into your apps

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",There's a gap in accessible solutions for Artificial Intelligence & ML problems.,Artificial Intelligence & ML,ai_trending,"[""Jupyter Notebook"", ""HTML"", ""TypeScript"", ""F#"", ""JavaScript"", ""Bicep"", ""TensorFlow"", ""C#""]",5,High,4-6 months,"Looking for 4 team member(s) with skills in: Jupyter Notebook, HTML, TypeScript. Open to learning together!","[""ai"", ""artificial-intelligence"", ""llm"", ""openai"", ""sdk""]",26350,4259,github_transformed,https://github.com/microsoft/semantic-kernel
15,Perplexica,Perplexica is an AI-powered search engine. It is an Open source alternative to Perplexity AI,"Perplexica is an AI-powered search engine. It is an Open source alternative to Perplexity AI

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",Current Artificial Intelligence & ML tools are either too complex or too limited for student projects.,Artificial Intelligence & ML,ai_trending,"[""TypeScript"", ""Dockerfile"", ""JavaScript"", ""scikit-learn"", ""Shell"", ""CSS"", ""ML Algorithms"", ""Python""]",5,High,4-6 months,"Looking for 4 team member(s) with skills in: TypeScript, Dockerfile, JavaScript. Open to learning together!","[""ai-search-engine"", ""artificial-intelligence"", ""machine-learning"", ""open-source-ai-search-engine"", ""open-source-perplexity-ai"", ""perplexica""]",26236,2709,github_transformed,https://github.com/ItzCrazyKns/Perplexica
16,InvokeAI,"Invoke is a leading creative engine for Stable Diffusion models, empowering professionals, artists, and enthusiasts to generate and create visual media using the latest AI-driven technologies. The solution offers an industry leading WebUI, and serves as the foundation for multiple commercial products.","Invoke is a leading creative engine for Stable Diffusion models, empowering professionals, artists, and enthusiasts to generate and create visual media using the latest AI-driven technologies. The sol

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",There's a gap in accessible solutions for Artificial Intelligence & ML problems.,Artificial Intelligence & ML,ai_trending,"[""Jupyter Notebook"", ""HTML"", ""TypeScript"", ""Nix"", ""Dockerfile"", ""JavaScript"", ""Makefile"", ""Shell""]",5,High,4-6 months,"Looking for 4 team member(s) with skills in: Jupyter Notebook, HTML, TypeScript. Open to learning together!","[""ai-art"", ""artificial-intelligence"", ""generative-art"", ""image-generation"", ""img2img"", ""inpainting""]",25958,2675,github_transformed,https://github.com/invoke-ai/InvokeAI
17,vit-pytorch,"Implementation of Vision Transformer, a simple way to achieve SOTA in vision classification with only a single transformer encoder, in Pytorch","Implementation of Vision Transformer, a simple way to achieve SOTA in vision classification with only a single transformer encoder, in Pytorch

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",Current Artificial Intelligence & ML tools are either too complex or too limited for student projects.,Artificial Intelligence & ML,ai_trending,"[""Computer Vision"", ""Image Processing"", ""Python"", ""OpenCV""]",4,High,4-6 months,"Looking for 3 team member(s) with skills in: Computer Vision, Image Processing, Python. Open to learning together!","[""artificial-intelligence"", ""attention-mechanism"", ""computer-vision"", ""image-classification"", ""transformers""]",24078,3402,github_transformed,https://github.com/lucidrains/vit-pytorch
18,h4cker,"This repository is primarily maintained by Omar Santos (@santosomar) and includes thousands of resources related to ethical hacking, bug bounties, digital forensics and incident response (DFIR), artificial intelligence security, vulnerability research, exploit development, reverse engineering, and more.","This repository is primarily maintained by Omar Santos (@santosomar) and includes thousands of resources related to ethical hacking, bug bounties, digital forensics and incident response (DFIR), artif

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",Students and developers need better tools for Artificial Intelligence & ML applications.,Artificial Intelligence & ML,ai_trending,"[""Jupyter Notebook"", ""JavaScript"", ""TensorFlow"", ""Machine Learning"", ""Rich Text Format"", ""C"", ""Shell"", ""Makefile""]",5,High,4-6 months,"Looking for 4 team member(s) with skills in: Jupyter Notebook, JavaScript, TensorFlow. Open to learning together!","[""ai"", ""ai-security"", ""artificial-intelligence"", ""awesome-list"", ""awesome-lists"", ""cybersecurity""]",23377,4425,github_transformed,https://github.com/The-Art-of-Hacking/h4cker
19,ncnn,ncnn is a high-performance neural network inference framework optimized for the mobile platform,"ncnn is a high-performance neural network inference framework optimized for the mobile platform

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",Students and developers need better tools for Artificial Intelligence & ML applications.,Artificial Intelligence & ML,ai_trending,"[""Deep Learning"", ""TensorFlow"", ""C++"", ""C"", ""PyTorch"", ""GLSL"", ""Shell"", ""CMake""]",5,High,4-6 months,"Looking for 4 team member(s) with skills in: Deep Learning, TensorFlow, C++. Open to learning together!","[""android"", ""arm-neon"", ""artificial-intelligence"", ""caffe"", ""darknet"", ""deep-learning""]",22130,4326,github_transformed,https://github.com/Tencent/ncnn
20,recommenders,Best Practices on Recommendation Systems,"Best Practices on Recommendation Systems

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",Current Artificial Intelligence & ML tools are either too complex or too limited for student projects.,Artificial Intelligence & ML,ai_trending,"[""Jupyter Notebook"", ""PyTorch"", ""Backend"", ""Neural Networks"", ""ML Algorithms"", ""Pandas"", ""Cloud"", ""Dockerfile""]",5,High,4-6 months,"Looking for 4 team member(s) with skills in: Jupyter Notebook, PyTorch, Backend. Open to learning together!","[""ai"", ""artificial-intelligence"", ""data-science"", ""deep-learning"", ""jupyter-notebook"", ""kubernetes""]",20965,3250,github_transformed,https://github.com/recommenders-team/recommenders
21,datasets,"🤗 The largest hub of ready-to-use datasets for AI models with fast, easy-to-use and efficient data manipulation tools","🤗 The largest hub of ready-to-use datasets for AI models with fast, easy-to-use and efficient data manipulation tools

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",Current Artificial Intelligence & ML tools are either too complex or too limited for student projects.,Artificial Intelligence & ML,ai_trending,"[""Transformers"", ""NLP"", ""Deep Learning"", ""TensorFlow"", ""scikit-learn"", ""Machine Learning"", ""PyTorch"", ""Text Processing""]",5,High,4-6 months,"Looking for 4 team member(s) with skills in: Transformers, NLP, Deep Learning. Open to learning together!","[""ai"", ""artificial-intelligence"", ""computer-vision"", ""dataset-hub"", ""datasets"", ""deep-learning""]",20713,2966,github_transformed,https://github.com/huggingface/datasets
22,Ciphey,"⚡ Automatically decrypt encryptions without knowing the key or cipher, decode encodings, and crack hashes ⚡","⚡ Automatically decrypt encryptions without knowing the key or cipher, decode encodings, and crack hashes ⚡

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",There's a gap in accessible solutions for Artificial Intelligence & ML problems.,Artificial Intelligence & ML,ai_trending,"[""Backend"", ""Python""]",3,High,4-6 months,Looking for 2 team member(s) who can help with implementation and testing.,"[""artificial-intelligence"", ""cipher"", ""cpp"", ""cryptography"", ""ctf"", ""ctf-tools""]",20010,1304,github_transformed,https://github.com/bee-san/Ciphey
23,repomix,"📦 Repomix is a powerful tool that packs your entire repository into a single, AI-friendly file. Perfect for when you need to feed your codebase to Large Language Models (LLMs) or other AI tools like Claude, ChatGPT, DeepSeek, Perplexity, Gemini, Gemma, Llama, Grok, and more.","📦 Repomix is a powerful tool that packs your entire repository into a single, AI-friendly file. Perfect for when you need to feed your codebase to Large Language Models (LLMs) or other AI tools like C

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",There's a gap in accessible solutions for Artificial Intelligence & ML problems.,Artificial Intelligence & ML,ai_trending,"[""TypeScript"", ""LLMs"", ""Frontend"", ""Dockerfile"", ""NLP"", ""GPT"", ""JavaScript"", ""TensorFlow""]",5,High,4-6 months,"Looking for 4 team member(s) with skills in: TypeScript, LLMs, Frontend. Open to learning together!","[""ai"", ""anthropic"", ""artificial-intelligence"", ""chatbot"", ""chatgpt"", ""claude""]",19483,874,github_transformed,https://github.com/yamadashy/repomix
24,gun,An open source cybersecurity protocol for syncing decentralized graph data.,"An open source cybersecurity protocol for syncing decentralized graph data.

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",There's a gap in accessible solutions for Artificial Intelligence & ML problems.,Artificial Intelligence & ML,ai_trending,"[""HTML"", ""TypeScript"", ""Solidity"", ""Smart Contracts"", ""Dockerfile"", ""Web3"", ""Ethereum"", ""scikit-learn""]",5,High,4-6 months,"Looking for 4 team member(s) with skills in: HTML, TypeScript, Solidity. Open to learning together!","[""artificial-intelligence"", ""big-data"", ""blockchain"", ""crdt"", ""crypto"", ""cryptography""]",18657,1216,github_transformed,https://github.com/amark/gun
25,owl,🦉 OWL: Optimized Workforce Learning for General Multi-Agent Assistance in Real-World Task Automation,"🦉 OWL: Optimized Workforce Learning for General Multi-Agent Assistance in Real-World Task Automation

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",Building Artificial Intelligence & ML applications requires expertise that's not easily accessible to students.,Artificial Intelligence & ML,ai_trending,"[""Shell"", ""Batchfile"", ""Python"", ""Dockerfile""]",4,High,4-6 months,"Looking for 3 team member(s) with skills in: Shell, Batchfile, Python. Open to learning together!","[""agent"", ""artificial-intelligence"", ""multi-agent-systems"", ""task-automation"", ""web-interaction""]",18168,2104,github_transformed,https://github.com/camel-ai/owl
26,ai,"The AI Toolkit for TypeScript. From the creators of Next.js, the AI SDK is a free open-source library for building AI-powered applications and agents ","The AI Toolkit for TypeScript. From the creators of Next.js, the AI SDK is a free open-source library for building AI-powered applications and agents 

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",Current Artificial Intelligence & ML tools are either too complex or too limited for student projects.,Artificial Intelligence & ML,ai_trending,"[""Vue.js"", ""TypeScript"", ""Svelte"", ""HTML/CSS"", ""Full-stack"", ""JavaScript"", ""Vue"", ""React""]",5,High,4-6 months,"Looking for 4 team member(s) with skills in: Vue.js, TypeScript, Svelte. Open to learning together!","[""anthropic"", ""artificial-intelligence"", ""gemini"", ""generative-ai"", ""generative-ui"", ""javascript""]",18167,3028,github_transformed,https://github.com/vercel/ai
27,AirSim,"Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research","Open source simulator for autonomous vehicles built on Unreal Engine / Unity, from Microsoft AI & Research

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",Current Artificial Intelligence & ML tools are either too complex or too limited for student projects.,Artificial Intelligence & ML,ai_trending,"[""ShaderLab"", ""Dockerfile"", ""TensorFlow"", ""C++"", ""Machine Learning"", ""C#"", ""C"", ""Shell""]",5,High,4-6 months,"Looking for 4 team member(s) with skills in: ShaderLab, Dockerfile, TensorFlow. Open to learning together!","[""ai"", ""airsim"", ""artificial-intelligence"", ""autonomous-quadcoptor"", ""autonomous-vehicles"", ""computer-vision""]",17560,4783,github_transformed,https://github.com/microsoft/AirSim
28,SuperAGI,"<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably.","<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably.

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",There's a gap in accessible solutions for Artificial Intelligence & ML problems.,Artificial Intelligence & ML,ai_trending,"[""Full-stack"", ""Dockerfile"", ""JavaScript"", ""TensorFlow"", ""Machine Learning"", ""Shell"", ""CSS"", ""React""]",5,High,4-6 months,"Looking for 4 team member(s) with skills in: Full-stack, Dockerfile, JavaScript. Open to learning together!","[""agents"", ""agi"", ""ai"", ""artificial-general-intelligence"", ""artificial-intelligence"", ""autonomous-agents""]",16766,2082,github_transformed,https://github.com/TransformerOptimus/SuperAGI
29,leon,🧠 Leon is your open-source personal assistant.,"🧠 Leon is your open-source personal assistant.

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",There's a gap in accessible solutions for Artificial Intelligence & ML problems.,Artificial Intelligence & ML,ai_trending,"[""HTML"", ""TypeScript"", ""SCSS"", ""JavaScript"", ""TensorFlow"", ""Machine Learning"", ""Data Science"", ""Node.js""]",5,High,4-6 months,"Looking for 4 team member(s) with skills in: HTML, TypeScript, SCSS. Open to learning together!","[""ai"", ""ai-assistant"", ""artificial-intelligence"", ""assistant"", ""automation"", ""bot""]",16695,1384,github_transformed,https://github.com/leon-ai/leon
30,marimo,"Transform data, train models, and run SQL with marimo — feels like a next-gen reactive notebook, stored as Git-friendly reproducible Python. Deploy as scripts, pipelines, endpoints, and apps. All from an AI-native editor (or your own).","Transform data, train models, and run SQL with marimo — feels like a next-gen reactive notebook, stored as Git-friendly reproducible Python. Deploy as scripts, pipelines, endpoints, and apps. All from

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",Current Artificial Intelligence & ML tools are either too complex or too limited for student projects.,Artificial Intelligence & ML,ai_trending,"[""TeX"", ""Jupyter Notebook"", ""HTML"", ""TypeScript"", ""Pandas"", ""MDX"", ""Dockerfile"", ""JavaScript""]",5,High,4-6 months,"Looking for 4 team member(s) with skills in: TeX, Jupyter Notebook, HTML. Open to learning together!","[""artificial-intelligence"", ""dag"", ""data-science"", ""data-visualization"", ""dataflow"", ""developer-tools""]",16234,704,github_transformed,https://github.com/marimo-team/marimo
31,Hands-On-Large-Language-Models,"Official code repo for the O'Reilly Book - ""Hands-On Large Language Models""","Official code repo for the O'Reilly Book - ""Hands-On Large Language Models""

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",There's a gap in accessible solutions for Artificial Intelligence & ML problems.,Artificial Intelligence & ML,ai_trending,"[""Jupyter Notebook""]",3,High,4-6 months,Looking for 2 team member(s) who can help with implementation and testing.,"[""artificial-intelligence"", ""book"", ""large-language-models"", ""llm"", ""llms"", ""oreilly""]",16143,3813,github_transformed,https://github.com/HandsOnLLM/Hands-On-Large-Language-Models
32,sim,Open-source platform to build and deploy AI agent workflows.,"Open-source platform to build and deploy AI agent workflows.

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",Students and developers need better tools for Artificial Intelligence & ML applications.,Artificial Intelligence & ML,ai_trending,"[""TypeScript"", ""HTML/CSS"", ""Full-stack"", ""Dockerfile"", ""JavaScript"", ""TensorFlow"", ""Smarty"", ""Machine Learning""]",5,High,4-6 months,"Looking for 4 team member(s) with skills in: TypeScript, HTML/CSS, Full-stack. Open to learning together!","[""agent-workflow"", ""agentic-workflow"", ""agents"", ""ai"", ""aiagents"", ""anthropic""]",16109,2036,github_transformed,https://github.com/simstudioai/sim
33,nautilus_trader,A high-performance algorithmic trading platform and event-driven backtester,"A high-performance algorithmic trading platform and event-driven backtester

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",Building Artificial Intelligence & ML applications requires expertise that's not easily accessible to students.,Artificial Intelligence & ML,ai_trending,"[""Dockerfile"", ""Rust"", ""scikit-learn"", ""Cython"", ""C"", ""Makefile"", ""Systems Programming"", ""Shell""]",5,High,4-6 months,"Looking for 4 team member(s) with skills in: Dockerfile, Rust, scikit-learn. Open to learning together!","[""algorithmic-trading-engine"", ""artificial-intelligence"", ""crypto-trading"", ""equity-trading"", ""forex"", ""futures-trading""]",15574,1738,github_transformed,https://github.com/nautechsystems/nautilus_trader
34,DeepResearch,"Tongyi Deep Research, the Leading Open-source Deep Research Agent","Tongyi Deep Research, the Leading Open-source Deep Research Agent

This project explores Artificial Intelligence & ML and could be a great learning experience for students interested in building real-world applications. The implementation involves working with modern tools and frameworks, making it suitable for academic projects or hackathon submissions.",Students and developers need better tools for Artificial Intelligence & ML applications.,Artificial Intelligence & ML,ai_trending,"[""Shell"", ""Python""]",3,High,4-6 months,Looking for 2 team member(s) who can help with implementation and testing.,"[""agent"", ""alibaba"", ""artificial-intelligence"", ""deep-research"", ""deepresearch"", ""information-seeking""]",15324,1125,github_transformed,https://github.com/Alibaba-NLP/DeepResearch
